"OBJECTID" "PROV_34_ID" "PROV_34_NA" "DIST_34_ID" "DIST_34_NA" "AREA_SQKM" "HECTARES" "SHAPE_LENG" "Dis_Old_ID" "REGION" "T_P_BS" "T_P_MAL" "T_P_FMAL" "U_BS" "UR_MAL" "UR_FMAL" "RU_BS" "RU_MAL" "RU_FMAL" "POP_DEN"
"147" 149 12 "Paktya" 1201 "Gardiz" 704.840639981 70484.0639981 1.46607507566 701 "Capital" 79600 40600 39000 22600 11500 11100 57000 29100 27900 112.933
"148" 150 12 "Paktya" 1202 "Zurmat" 1421.38646064 142138.646064 1.84491038326 702 "Capital" 102800 52600 50200 0 0 0 102800 52600 50200 72.324
"149" 151 12 "Paktya" 1203 "Shawak" 120.248370111 12024.8370111 0.51184693405 703 "Capital" 5300 2700 2600 0 0 0 5300 2700 2600 44.075
"150" 152 12 "Paktya" 1204 "Zadran" 484.631474605 48463.1474605 1.19519513508 704 "Capital" 33900 17500 16400 0 0 0 33900 17500 16400 69.95
"151" 153 25 "Khost" 2502 "Jaji Maidan" 327.530904027 32753.0904027 0.86962530231 3202 "Capital" 23000 11900 11100 0 0 0 23000 11900 11100 70.222
"152" 154 25 "Khost" 2510 "Bak" 170.728406069 17072.8406069 0.7250966083 3210 "Capital" 21200 10800 10400 0 0 0 21200 10800 10400 124.174
"153" 155 25 "Khost" 2509 "Sabri" 413.237021326 41323.7021326 1.04488497793 3209 "Capital" 67800 34500 33300 0 0 0 67800 34500 33300 164.07
"154" 156 25 "Khost" 2507 "Tere Zayi" 395.629550644 39562.9550644 1.07203478154 3207 "Capital" 42700 22000 20700 0 0 0 42700 22000 20700 107.929
"155" 157 25 "Khost" 2505 "Mosa Khail" 430.160649168 43016.0649168 1.25145759339 3205 "Capital" 39200 20000 19200 0 0 0 39200 20000 19200 91.129
"156" 158 25 "Khost" 2512 "Qalandar" 157.87277017 15787.277017 0.65949880484 3212 "Capital" 9800 5100 4700 0 0 0 9800 5100 4700 62.075
"157" 159 25 "Khost" 2508 "Nadir Shah Kot" 330.584496148 33058.4496148 0.94341755217 3208 "Capital" 30400 15700 14700 0 0 0 30400 15700 14700 91.958
"158" 160 25 "Khost" 2501 "Khost(Matun)" 483.708578613 48370.8578613 1.24966209383 3201 "Capital" 131500 66900 64600 10700 5500 5200 120800 61400 59400 271.858
