"GEOCODE" "NAME" "LAT" "LON" "TYPE" "DIST_ID" "DIST_NAM" "PROV_ID" "PROV_NAM" "coords.x1" "coords.x2"
"135" "AF011200167" "Shinwaro Kalay" 34.58439 69.52451 0 112 "Surobi" 1 "Kabul" 69.52451 34.58439
"136" "AF011200168" "Shinwari" 34.57669 69.49409 0 112 "Surobi" 1 "Kabul" 69.49409 34.57669
"137" "AF011200169" "Shpol Baba" 34.57 69.53359 0 112 "Surobi" 1 "Kabul" 69.53359 34.57
"138" "AF010100170" "Aqa Alishams" 34.48169 69.15499 0 101 "Kabul" 1 "Kabul" 69.15499 34.48169
"139" "AF010900171" "Reeshkhor" 34.42479 69.12379 0 109 "Chahar Asyab" 1 "Kabul" 69.12379 34.42479
"140" "AF010100172" "Qala-I- Muslim" 34.4459 69.1148 0 101 "Kabul" 1 "Kabul" 69.1148 34.4459
"141" "AF010900173" "Tangee Sayidan" 34.4166 69.10579 0 109 "Chahar Asyab" 1 "Kabul" 69.10579 34.4166
"142" "AF010900174" "Furmuli" 34.42023 69.11282 0 109 "Chahar Asyab" 1 "Kabul" 69.11282 34.42023
"143" "AF010100175" "Khwaja Noor" 34.4369 69.12369 0 101 "Kabul" 1 "Kabul" 69.12369 34.4369
"144" "AF010100176" "Qala-I- Mirza Azeem" 34.47289 69.07649 0 101 "Kabul" 1 "Kabul" 69.07649 34.47289
"145" "AF010100177" "Dih Alaka" 34.4795 69.0265 0 101 "Kabul" 1 "Kabul" 69.0265 34.4795
"146" "AF010100178" "Qala-I- Qazee" 34.48149 69.0483 0 101 "Kabul" 1 "Kabul" 69.0483 34.48149
"147" "AF010100179" "Afshari Teba" 34.46479 69.10819 0 101 "Kabul" 1 "Kabul" 69.10819 34.46479
"148" "AF010100180" "Tap-i Tajbeg" 34.45089 69.11479 0 101 "Kabul" 1 "Kabul" 69.11479 34.45089
"149" "AF010100181" "Jada-i-Hazara Ha" 34.4575 69.1097 0 101 "Kabul" 1 "Kabul" 69.1097 34.4575
"150" "AF010100182" "Sarasyab" 34.45219 69.11999 0 101 "Kabul" 1 "Kabul" 69.11999 34.45219
"151" "AF010100183" "Darul Aman" 34.4617 69.1161 0 101 "Kabul" 1 "Kabul" 69.1161 34.4617
"152" "AF010100184" "Qala-I- Pakhchak" 34.48101 69.10088 0 101 "Kabul" 1 "Kabul" 69.10088 34.48101
"153" "AF010100185" "Qala-I- Bahadurkhan" 34.47569 69.09589 0 101 "Kabul" 1 "Kabul" 69.09589 34.47569
"154" "AF010100186" "Qala-i- Bakhtyar" 34.47129 69.1068 0 101 "Kabul" 1 "Kabul" 69.1068 34.47129
"155" "AF010100187" "Qala-I- Akhund" 34.4799 69.1122 0 101 "Kabul" 1 "Kabul" 69.1122 34.4799
"156" "AF010900188" "Gulbagh" 34.4217 69.1334 0 109 "Chahar Asyab" 1 "Kabul" 69.1334 34.4217
"157" "AF010900189" "Qala-I- Jankhan" 34.41249 69.13249 0 109 "Chahar Asyab" 1 "Kabul" 69.13249 34.41249
"158" "AF010100190" "Doghabad (1)" 34.4587 69.13559 0 101 "Kabul" 1 "Kabul" 69.13559 34.4587
"159" "AF010100191" "Qala-I- Logari" 34.44329 69.1272 0 101 "Kabul" 1 "Kabul" 69.1272 34.44329
"160" "AF010900192" "Qala-I- Khwaja Ha" 34.43469 69.12849 0 109 "Chahar Asyab" 1 "Kabul" 69.12849 34.43469
"161" "AF230732324" "Puzagayi Sharqi" 32.1807 63.5301 0 2307 "Washer" 23 "Hilmand" 63.5301 32.1807
"162" "AF010100193" "Qala-I- Najar Ha" 34.44979 69.13029 0 101 "Kabul" 1 "Kabul" 69.13029 34.44979
"163" "AF010100194" "Chahar Dihi" 34.46636 69.13143 0 101 "Kabul" 1 "Kabul" 69.13143 34.46636
"164" "AF010100195" "Qala-I- Fatooh" 34.43919 69.14289 0 101 "Kabul" 1 "Kabul" 69.14289 34.43919
"165" "AF010100196" "Dih Qalandar" 34.47109 69.1413 0 101 "Kabul" 1 "Kabul" 69.1413 34.47109
"166" "AF010100197" "Chihilsutoon" 34.46309 69.1562 0 101 "Kabul" 1 "Kabul" 69.1562 34.46309
"167" "AF010100198" "Qala-I- Ghaybi" 34.47628 69.15219 0 101 "Kabul" 1 "Kabul" 69.15219 34.47628
"168" "AF010100199" "Harbi Showunzay" 34.50563 69.10468 0 101 "Kabul" 1 "Kabul" 69.10468 34.50563
